                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                  1.274,                 3.0502,                 1.2476,                 1.2599,                0.73769,                0.35714,                0.39284,                0.12525,                      0,                      0,                      0,                      0,                 2.2602,                 4.2804,                  2.057,                 1.8638,              0.0018198,              0.0018198,              0.0018198
                     93,                 1.2789,                 3.0234,                 1.2632,                  1.288,                 0.7286,                0.38367,                0.43811,                0.15064,                      0,                      0,                      0,                      0,                   2.15,                 4.2939,                  2.059,                 1.7949,              0.0018178,              0.0018178,              0.0018178
                     94,                 1.2689,                 3.0447,                 1.2388,                  1.266,                0.72095,                0.41533,                0.49733,                0.18358,                      0,                      0,                      0,                      0,                 1.9547,                 4.1746,                 1.8406,                 1.6466,              0.0018159,              0.0018159,              0.0018159
                     95,                 1.2861,                 3.0501,                 1.3167,                 1.3102,                0.76594,                0.40909,                 0.5279,                0.18844,                      0,                      0,                      0,                      0,                 1.8127,                 4.0938,                 1.8579,                 1.5472,              0.0018139,              0.0018139,              0.0018139
                     96,                 1.3346,                 3.1709,                 1.4255,                 1.3037,                0.55986,                0.53571,                0.52937,                0.20681,                 0.0803,                0.01786,                0.00355,                0.00076,                 1.8368,                  4.031,                 1.6139,                 1.5161,              0.0018119,              0.0018119,              0.0018119
                     97,                 1.3299,                 3.1159,                 1.2754,                 1.2625,                 0.6104,                0.53571,                0.51964,                0.19481,                0.07078,                0.01786,                0.00306,                0.00062,                 1.8847,                 3.8894,                 1.5763,                 1.6189,              0.0018099,              0.0018099,              0.0018099
                     98,                 1.2815,                 2.8769,                 1.3251,                 1.2721,                0.61711,                0.30357,                 0.4065,                0.13895,                      0,                      0,                      0,                      0,                 2.1086,                  4.017,                 1.8784,                 1.7378,              0.0018079,              0.0018079,              0.0018079
                     99,                 1.2378,                 3.0791,                 1.2989,                 1.2378,                0.47261,                0.46429,                0.42366,                0.12052,                      0,                      0,                      0,                      0,                 2.1711,                  4.378,                 2.0203,                 1.7848,               0.001806,               0.001806,               0.001806
                    100,                 1.2354,                 3.0906,                 1.3287,                   1.26,                0.54697,                0.33929,                 0.3598,                0.12521,                      0,                      0,                      0,                      0,                 2.1016,                 4.5435,                 2.3127,                 1.6031,               0.001804,               0.001804,               0.001804
                    101,                 1.1946,                 2.8395,                 1.2146,                  1.231,                0.49817,                0.30141,                0.29351,                0.11446,                      0,                      0,                      0,                      0,                 2.0725,                 4.4522,                 2.3864,                 1.6194,               0.001802,               0.001802,               0.001802
                    102,                 1.1652,                 2.8109,                 1.1873,                 1.2199,                0.49006,                  0.375,                 0.3463,                 0.1368,                0.00216,                0.01786,                0.00111,                0.00011,                 2.1334,                 4.4527,                 2.2968,                 1.7262,                 0.0018,                 0.0018,                 0.0018
                    103,                 1.1858,                 3.0286,                 1.2093,                 1.2691,                0.66057,                0.33929,                0.39634,                0.16814,                      0,                      0,                      0,                      0,                 2.0774,                 4.3491,                  1.984,                 1.7365,               0.001798,               0.001798,               0.001798
                    104,                 1.1947,                 2.9026,                 1.2212,                 1.2698,                0.73172,                0.33929,                0.43256,                0.20678,                      0,                      0,                      0,                      0,                 1.9648,                 4.1216,                 1.8383,                 1.7447,              0.0017961,              0.0017961,              0.0017961
                    105,                 1.2374,                 2.9757,                 1.2159,                 1.2665,                0.53692,                0.33141,                0.38008,                0.17635,                      0,                      0,                      0,                      0,                 1.9423,                 4.0575,                 1.9506,                  1.705,              0.0017941,              0.0017941,              0.0017941
